agent_name,cherries_eaten,total_moves,agent_runtime,max_moves_without_cherry,grid_width,grid_height
dfs,9,2242,0.002168,4500,30,30
dfs,21,5074,0.004102,4500,30,30
dfs,13,3994,0.004323,4500,30,30
dfs,19,4701,0.004833,4500,30,30
dfs,53,12927,0.013640,4500,30,30
ida_dfs,37,1272,0.443312,4500,30,30
ida_dfs,89,2801,0.802494,4500,30,30
ida_dfs,102,3079,1.330188,4500,30,30
ida_dfs,72,2210,0.811531,4500,30,30
ida_dfs,111,3806,1.604213,4500,30,30
ida_dfs,137,4523,1.727791,4500,30,30
ida_dfs,74,2251,0.767244,4500,30,30
ida_dfs,110,3585,1.386464,4500,30,30
ida_dfs,126,4380,1.685085,4500,30,30
ida_dfs,51,1477,0.319833,4500,30,30
raw_hamilton,897,204389,0.177609,4500,30,30
raw_hamilton,897,201599,0.181927,4500,30,30
raw_hamilton,897,209975,0.186434,4500,30,30
raw_hamilton,897,199515,0.179286,4500,30,30
raw_hamilton,897,202513,0.183571,4500,30,30
raw_hamilton,897,198513,0.171891,4500,30,30
raw_hamilton,897,206496,0.184800,4500,30,30
raw_hamilton,897,208761,0.190296,4500,30,30
raw_hamilton,897,201602,0.182156,4500,30,30
raw_hamilton,897,200586,0.176545,4500,30,30
smart_snako,897,83380,115.738475,4500,30,30
smart_snako,897,82157,120.515363,4500,30,30
smart_snako,897,77852,112.956679,4500,30,30
smart_snako,897,81174,118.716837,4500,30,30
smart_snako,897,81311,119.004627,4500,30,30
smart_snako,897,80153,116.988809,4500,30,30
smart_snako,897,81249,115.704054,4500,30,30
smart_snako,897,80509,115.625427,4500,30,30
smart_snako,897,83504,120.977317,4500,30,30
smart_snako,897,81890,116.634058,4500,30,30
random,4,2454,0.001219,4500,30,30
random,4,5349,0.004243,4500,30,30
random,1,4912,0.003763,4500,30,30
random,1,2454,0.001062,4500,30,30
random,0,4501,0.000448,4500,30,30
random,1,4524,0.003019,4500,30,30
random,1,5034,0.002370,4500,30,30
random,5,4198,0.002547,4500,30,30
random,2,6313,0.003340,4500,30,30
random,4,2299,0.000761,4500,30,30
manhattan,62,1485,0.001529,4500,30,30
manhattan,49,1084,0.001050,4500,30,30
