agent_name,cherries_eaten,total_moves,agent_runtime,max_moves_without_cherry,grid_width,grid_height
random,3,4260,0.002729,4500,30,30
random,3,2024,0.001676,4500,30,30
random,1,4772,0.001819,4500,30,30
random,3,5480,0.003583,4500,30,30
random,1,3849,0.001593,4500,30,30
random,1,3235,0.001913,4500,30,30
random,0,4501,0.004576,4500,30,30
random,2,2896,0.000333,4500,30,30
random,1,2250,0.001115,4500,30,30
random,2,4512,0.001299,4500,30,30
manhattan,30,637,0.000632,4500,30,30
manhattan,61,1528,0.001432,4500,30,30
manhattan,14,299,0.000366,4500,30,30
manhattan,44,849,0.000835,4500,30,30
manhattan,51,1196,0.001228,4500,30,30
manhattan,79,1999,0.002241,4500,30,30
manhattan,60,1444,0.001649,4500,30,30
manhattan,58,1293,0.001187,4500,30,30
manhattan,53,1165,0.001076,4500,30,30
manhattan,58,1263,0.001226,4500,30,30
dfs,28,6930,0.006112,4500,30,30
dfs,23,6098,0.005825,4500,30,30
dfs,18,4362,0.004973,4500,30,30
dfs,5,1309,0.001271,4500,30,30
dfs,42,10764,0.010939,4500,30,30
dfs,34,8281,0.008627,4500,30,30
dfs,14,3513,0.003345,4500,30,30
dfs,16,4715,0.004873,4500,30,30
dfs,10,2594,0.001945,4500,30,30
dfs,28,6344,0.006478,4500,30,30
ida_dfs,72,2200,0.592113,4500,30,30
ida_dfs,107,3753,2.016229,4500,30,30
ida_dfs,75,2277,0.643568,4500,30,30
ida_dfs,81,2464,0.695823,4500,30,30
ida_dfs,55,1697,0.690031,4500,30,30
ida_dfs,108,3352,0.904031,4500,30,30
ida_dfs,63,1601,0.534833,4500,30,30
ida_dfs,70,2180,0.645275,4500,30,30
ida_dfs,94,3218,1.062271,4500,30,30
ida_dfs,77,2264,0.786535,4500,30,30
raw_hamilton,897,200546,0.182808,4500,30,30
raw_hamilton,897,203135,0.181741,4500,30,30
raw_hamilton,897,206471,0.182867,4500,30,30
raw_hamilton,897,208090,0.189567,4500,30,30
raw_hamilton,897,196168,0.176743,4500,30,30
raw_hamilton,897,190124,0.171928,4500,30,30
raw_hamilton,897,204186,0.184174,4500,30,30
raw_hamilton,897,198455,0.179322,4500,30,30
raw_hamilton,897,202137,0.187958,4500,30,30
raw_hamilton,897,203544,0.184427,4500,30,30
smart_snako,897,81558,120.995420,4500,30,30
smart_snako,897,84330,119.260172,4500,30,30
smart_snako,897,83009,120.055169,4500,30,30
smart_snako,897,83964,118.095010,4500,30,30
smart_snako,897,82308,118.367723,4500,30,30
smart_snako,897,78516,113.390668,4500,30,30
smart_snako,897,79367,115.681315,4500,30,30
smart_snako,897,81854,118.559294,4500,30,30
smart_snako,897,80067,114.112108,4500,30,30
smart_snako,897,82908,115.928423,4500,30,30
random,3,1194,0.000708,4500,30,30
random,2,1436,0.000239,4500,30,30
random,4,2136,0.001259,4500,30,30
random,0,4501,0.000964,4500,30,30
random,3,4537,0.001198,4500,30,30
random,5,4425,0.002309,4500,30,30
random,3,2775,0.001080,4500,30,30
random,1,349,0.000068,4500,30,30
random,3,1437,0.000445,4500,30,30
random,1,1486,0.000922,4500,30,30
manhattan,49,1254,0.001183,4500,30,30
manhattan,11,223,0.000242,4500,30,30
manhattan,24,597,0.000580,4500,30,30
manhattan,41,855,0.000893,4500,30,30
manhattan,41,831,0.001020,4500,30,30
manhattan,48,1245,0.001197,4500,30,30
manhattan,22,447,0.000488,4500,30,30
manhattan,29,700,0.000563,4500,30,30
manhattan,68,1833,0.001877,4500,30,30
manhattan,34,622,0.000712,4500,30,30
dfs,20,4629,0.004743,4500,30,30
dfs,10,2665,0.002492,4500,30,30
dfs,13,3326,0.003493,4500,30,30
dfs,24,5820,0.006358,4500,30,30
dfs,34,8297,0.007647,4500,30,30
dfs,12,3652,0.003977,4500,30,30
dfs,9,2178,0.001954,4500,30,30
dfs,25,5490,0.005403,4500,30,30
dfs,24,6516,0.006096,4500,30,30
dfs,26,6520,0.006648,4500,30,30
ida_dfs,57,1865,0.499645,4500,30,30
ida_dfs,55,1472,0.320123,4500,30,30
ida_dfs,90,2955,0.952145,4500,30,30
ida_dfs,102,3100,1.010822,4500,30,30
ida_dfs,107,2929,1.045529,4500,30,30
ida_dfs,78,2367,0.707197,4500,30,30
ida_dfs,72,2136,0.462828,4500,30,30
ida_dfs,83,2557,0.730370,4500,30,30
ida_dfs,38,1097,0.175045,4500,30,30
ida_dfs,63,1886,0.424258,4500,30,30
raw_hamilton,897,199218,0.181528,4500,30,30
