agent_name,cherries_eaten,total_moves,agent_runtime,max_moves_without_cherry,grid_width,grid_height
random,1,4603,0.003812,4500,30,30
random,5,1743,0.001359,4500,30,30
random,3,3779,0.001870,4500,30,30
random,3,2230,0.000861,4500,30,30
random,3,2132,0.000781,4500,30,30
random,1,636,0.000461,4500,30,30
random,4,4596,0.001797,4500,30,30
random,3,3986,0.001680,4500,30,30
random,3,3336,0.001440,4500,30,30
random,2,5884,0.003470,4500,30,30
manhattan,16,339,0.000375,4500,30,30
manhattan,16,330,0.000383,4500,30,30
manhattan,49,1136,0.001059,4500,30,30
manhattan,24,514,0.000487,4500,30,30
manhattan,24,470,0.000455,4500,30,30
manhattan,27,645,0.000543,4500,30,30
manhattan,16,337,0.000307,4500,30,30
manhattan,17,352,0.000315,4500,30,30
manhattan,46,843,0.000810,4500,30,30
manhattan,42,1040,0.000965,4500,30,30
dfs,8,2090,0.001622,4500,30,30
dfs,31,7256,0.008899,4500,30,30
dfs,47,9421,0.011045,4500,30,30
dfs,15,4257,0.003484,4500,30,30
dfs,4,1070,0.001519,4500,30,30
dfs,23,5511,0.005701,4500,30,30
dfs,24,6592,0.006232,4500,30,30
dfs,14,3211,0.003518,4500,30,30
dfs,18,4961,0.004218,4500,30,30
dfs,35,8105,0.008438,4500,30,30
ida_dfs,98,3237,1.109417,4500,30,30
ida_dfs,84,2559,0.707210,4500,30,30
ida_dfs,88,2634,1.415460,4500,30,30
ida_dfs,47,1451,0.405040,4500,30,30
ida_dfs,68,2020,0.514176,4500,30,30
ida_dfs,78,2208,0.685969,4500,30,30
ida_dfs,91,2734,0.643579,4500,30,30
ida_dfs,91,2699,0.610325,4500,30,30
ida_dfs,81,2518,0.608270,4500,30,30
ida_dfs,92,3056,1.265998,4500,30,30
raw_hamilton,897,201049,0.178437,4500,30,30
raw_hamilton,897,200101,0.179047,4500,30,30
raw_hamilton,897,207511,0.183546,4500,30,30
raw_hamilton,897,201866,0.178452,4500,30,30
raw_hamilton,897,202137,0.181398,4500,30,30
raw_hamilton,897,198720,0.183378,4500,30,30
raw_hamilton,897,202612,0.177479,4500,30,30
raw_hamilton,897,204849,0.186229,4500,30,30
raw_hamilton,897,209730,0.185632,4500,30,30
raw_hamilton,897,203259,0.181991,4500,30,30
smart_snako,897,79225,115.301609,4500,30,30
smart_snako,897,77944,111.551812,4500,30,30
smart_snako,897,81541,122.118523,4500,30,30
smart_snako,897,80665,117.584720,4500,30,30
smart_snako,897,79508,112.506175,4500,30,30
smart_snako,897,81240,118.413358,4500,30,30
smart_snako,897,80427,117.524264,4500,30,30
smart_snako,897,83191,117.878222,4500,30,30
smart_snako,897,82544,119.284994,4500,30,30
smart_snako,897,81083,115.454323,4500,30,30
random,5,2485,0.001495,4500,30,30
random,5,5354,0.000666,4500,30,30
random,3,1691,0.000724,4500,30,30
random,1,4130,0.002056,4500,30,30
random,3,6847,0.003950,4500,30,30
random,7,6716,0.003914,4500,30,30
random,1,3270,0.000394,4500,30,30
random,1,3643,0.002681,4500,30,30
random,3,5574,0.003133,4500,30,30
random,1,5515,0.002595,4500,30,30
manhattan,36,806,0.000800,4500,30,30
manhattan,39,870,0.000859,4500,30,30
manhattan,28,571,0.000510,4500,30,30
manhattan,28,563,0.000539,4500,30,30
manhattan,37,742,0.000819,4500,30,30
manhattan,44,913,0.000858,4500,30,30
manhattan,35,735,0.000736,4500,30,30
manhattan,28,653,0.000564,4500,30,30
manhattan,30,588,0.000478,4500,30,30
manhattan,79,1806,0.001552,4500,30,30
dfs,13,3430,0.002900,4500,30,30
dfs,7,2045,0.001511,4500,30,30
dfs,24,6396,0.006182,4500,30,30
dfs,20,4406,0.004674,4500,30,30
dfs,16,4201,0.003643,4500,30,30
dfs,15,3260,0.002883,4500,30,30
dfs,28,7668,0.008173,4500,30,30
dfs,16,5418,0.005606,4500,30,30
dfs,17,4213,0.005021,4500,30,30
dfs,27,6775,0.008078,4500,30,30
ida_dfs,99,3323,0.946193,4500,30,30
ida_dfs,51,1652,0.569415,4500,30,30
ida_dfs,86,2430,0.933566,4500,30,30
