agent_name,cherries_eaten,total_moves,agent_runtime,max_moves_without_cherry,grid_width,grid_height
random,3,6039,0.004276,4500,30,30
random,4,3682,0.002044,4500,30,30
random,3,4373,0.002478,4500,30,30
random,3,2720,0.001230,4500,30,30
random,2,2959,0.000553,4500,30,30
random,3,6826,0.002716,4500,30,30
random,1,4202,0.001692,4500,30,30
random,4,4481,0.002410,4500,30,30
random,3,814,0.000318,4500,30,30
random,3,6236,0.003425,4500,30,30
manhattan,40,763,0.000694,4500,30,30
manhattan,70,1617,0.001765,4500,30,30
manhattan,14,232,0.000171,4500,30,30
manhattan,44,1004,0.001062,4500,30,30
manhattan,32,691,0.000604,4500,30,30
manhattan,26,569,0.000458,4500,30,30
manhattan,26,574,0.000550,4500,30,30
manhattan,9,193,0.000221,4500,30,30
manhattan,45,947,0.000919,4500,30,30
manhattan,47,1064,0.001051,4500,30,30
dfs,30,8736,0.009757,4500,30,30
dfs,13,3570,0.003227,4500,30,30
dfs,19,5355,0.006136,4500,30,30
dfs,17,4360,0.004067,4500,30,30
dfs,13,4141,0.004788,4500,30,30
dfs,9,2180,0.001901,4500,30,30
dfs,15,3576,0.003660,4500,30,30
dfs,22,5650,0.006287,4500,30,30
dfs,16,4031,0.003894,4500,30,30
dfs,11,2481,0.002321,4500,30,30
ida_dfs,71,2165,0.573326,4500,30,30
ida_dfs,75,2392,0.619585,4500,30,30
ida_dfs,77,2146,0.514036,4500,30,30
ida_dfs,71,1901,0.346125,4500,30,30
ida_dfs,93,2832,0.669922,4500,30,30
ida_dfs,86,2535,0.707934,4500,30,30
ida_dfs,120,3898,1.298678,4500,30,30
ida_dfs,47,1394,0.329661,4500,30,30
ida_dfs,90,2749,0.685004,4500,30,30
ida_dfs,102,3216,1.012038,4500,30,30
raw_hamilton,897,202996,0.182922,4500,30,30
raw_hamilton,897,198385,0.180885,4500,30,30
raw_hamilton,897,208162,0.188395,4500,30,30
raw_hamilton,897,194954,0.169800,4500,30,30
raw_hamilton,897,201416,0.180163,4500,30,30
raw_hamilton,897,201830,0.178882,4500,30,30
raw_hamilton,897,201264,0.181993,4500,30,30
raw_hamilton,897,201222,0.176647,4500,30,30
raw_hamilton,897,196767,0.178156,4500,30,30
raw_hamilton,897,192582,0.181149,4500,30,30
smart_snako,897,82559,117.010067,4500,30,30
smart_snako,897,84245,119.880625,4500,30,30
smart_snako,897,82646,116.347426,4500,30,30
smart_snako,897,80048,116.432488,4500,30,30
smart_snako,897,80290,116.610394,4500,30,30
smart_snako,897,79285,115.109754,4500,30,30
smart_snako,897,80646,115.792936,4500,30,30
smart_snako,897,81792,120.261299,4500,30,30
smart_snako,897,81597,117.677924,4500,30,30
smart_snako,897,82321,118.176234,4500,30,30
random,1,2208,0.000914,4500,30,30
random,1,867,0.000183,4500,30,30
random,3,2640,0.000666,4500,30,30
random,3,1161,0.000338,4500,30,30
random,4,5223,0.002152,4500,30,30
random,0,4501,0.000227,4500,30,30
random,1,3821,0.002269,4500,30,30
random,5,3457,0.001834,4500,30,30
random,3,1806,0.000867,4500,30,30
random,3,2026,0.001085,4500,30,30
manhattan,29,506,0.000381,4500,30,30
manhattan,42,959,0.001028,4500,30,30
manhattan,19,380,0.000363,4500,30,30
manhattan,33,733,0.000640,4500,30,30
manhattan,17,313,0.000303,4500,30,30
manhattan,50,1022,0.001030,4500,30,30
manhattan,27,585,0.000484,4500,30,30
manhattan,45,1080,0.000986,4500,30,30
manhattan,46,935,0.000813,4500,30,30
manhattan,34,864,0.000776,4500,30,30
dfs,11,2500,0.003002,4500,30,30
dfs,19,5405,0.006121,4500,30,30
dfs,22,5843,0.005389,4500,30,30
dfs,15,3852,0.003898,4500,30,30
dfs,12,4262,0.004486,4500,30,30
dfs,23,6582,0.006674,4500,30,30
dfs,16,4037,0.003374,4500,30,30
dfs,14,3152,0.003361,4500,30,30
dfs,20,4797,0.004194,4500,30,30
dfs,3,897,0.001185,4500,30,30
ida_dfs,56,2048,0.598796,4500,30,30
ida_dfs,46,1509,0.401673,4500,30,30
ida_dfs,101,3456,1.306765,4500,30,30
ida_dfs,94,2944,0.922289,4500,30,30
ida_dfs,84,2575,0.621131,4500,30,30
